@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
172,110,0,1418,172,0.891824,1,0.07199,1,0.92801,0.13431,0.898824,1.112565,0.008035
173,110,0,1417,173,0.891195,1,0.072037,1,0.927963,0.134392,0.898235,1.113294,0.008047
174,110,0,1416,174,0.890566,1,0.072084,1,0.927916,0.134474,0.897647,1.114024,0.008056
175,110,0,1415,175,0.889937,1,0.072131,1,0.927869,0.134557,0.897059,1.114754,0.008145
176,110,0,1414,176,0.889308,1,0.072178,1,0.927822,0.134639,0.896471,1.115486,0.008148
177,110,0,1413,177,0.888679,1,0.072226,1,0.927774,0.134721,0.895882,1.116218,0.008259
178,110,0,1412,178,0.88805,1,0.072273,1,0.927727,0.134804,0.895294,1.116951,0.00828
179,110,0,1411,179,0.887421,1,0.072321,1,0.927679,0.134887,0.894706,1.117686,0.008378
180,110,0,1410,180,0.886792,1,0.072368,1,0.927632,0.134969,0.894118,1.118421,0.008451
181,110,0,1409,181,0.886164,1,0.072416,1,0.927584,0.135052,0.893529,1.119157,0.00846
182,110,0,1408,182,0.885535,1,0.072464,1,0.927536,0.135135,0.892941,1.119895,0.008576
183,110,0,1407,183,0.884906,1,0.072512,1,0.927488,0.135218,0.892353,1.120633,0.008617
184,110,0,1406,184,0.884277,1,0.072559,1,0.927441,0.135301,0.891765,1.121372,0.008665
185,110,0,1405,185,0.883648,1,0.072607,1,0.927393,0.135385,0.891176,1.122112,0.008669
186,110,0,1404,186,0.883019,1,0.072655,1,0.927345,0.135468,0.890588,1.122853,0.008669
187,110,0,1403,187,0.88239,1,0.072703,1,0.927297,0.135551,0.89,1.123596,0.008669
188,110,0,1402,188,0.881761,1,0.072751,1,0.927249,0.135635,0.889412,1.124339,0.008676
189,110,0,1401,189,0.881132,1,0.072799,1,0.927201,0.135719,0.888824,1.125083,0.00877
190,110,0,1400,190,0.880503,1,0.072848,1,0.927152,0.135802,0.888235,1.125828,0.008811
191,110,0,1399,191,0.879874,1,0.072896,1,0.927104,0.135886,0.887647,1.126574,0.008846
192,110,0,1398,192,0.879245,1,0.072944,1,0.927056,0.13597,0.887059,1.127321,0.008847
193,110,0,1397,193,0.878616,1,0.072993,1,0.927007,0.136054,0.886471,1.128069,0.008979
194,110,0,1396,194,0.877987,1,0.073041,1,0.926959,0.136139,0.885882,1.128818,0.009031
195,110,0,1395,195,0.877358,1,0.07309,1,0.92691,0.136223,0.885294,1.129568,0.009135
196,110,0,1394,196,0.87673,1,0.073138,1,0.926862,0.136307,0.884706,1.130319,0.009135
197,110,0,1393,197,0.876101,1,0.073187,1,0.926813,0.136392,0.884118,1.131071,0.009145
198,110,0,1392,198,0.875472,1,0.073236,1,0.926764,0.136476,0.883529,1.131824,0.00915
199,110,0,1391,199,0.874843,1,0.073284,1,0.926716,0.136561,0.882941,1.132578,0.009155
200,110,0,1390,200,0.874214,1,0.073333,1,0.926667,0.136646,0.882353,1.133333,0.009192
201,110,0,1389,201,0.873585,1,0.073382,1,0.926618,0.136731,0.881765,1.134089,0.009234
202,110,0,1388,202,0.872956,1,0.073431,1,0.926569,0.136816,0.881176,1.134846,0.009292
203,110,0,1387,203,0.872327,1,0.07348,1,0.92652,0.136901,0.880588,1.135605,0.009297
204,110,0,1386,204,0.871698,1,0.073529,1,0.926471,0.136986,0.88,1.136364,0.009344
205,110,0,1385,205,0.871069,1,0.073579,1,0.926421,0.137072,0.879412,1.137124,0.009382
206,110,0,1384,206,0.87044,1,0.073628,1,0.926372,0.137157,0.878824,1.137885,0.009407
207,110,0,1383,207,0.869811,1,0.073677,1,0.926323,0.137243,0.878235,1.138647,0.009425
208,110,0,1382,208,0.869182,1,0.073727,1,0.926273,0.137328,0.877647,1.13941,0.009451
209,110,0,1381,209,0.868553,1,0.073776,1,0.926224,0.137414,0.877059,1.140174,0.009503
210,110,0,1380,210,0.867925,1,0.073826,1,0.926174,0.1375,0.876471,1.14094,0.009505
211,110,0,1379,211,0.867296,1,0.073875,1,0.926125,0.137586,0.875882,1.141706,0.00951
212,110,0,1378,212,0.866667,1,0.073925,1,0.926075,0.137672,0.875294,1.142473,0.00955
213,110,0,1377,213,0.866038,1,0.073974,1,0.926026,0.137758,0.874706,1.143241,0.009579
214,110,0,1376,214,0.865409,1,0.074024,1,0.925976,0.137845,0.874118,1.144011,0.009662
215,110,0,1375,215,0.86478,1,0.074074,1,0.925926,0.137931,0.873529,1.144781,0.00967
216,110,0,1374,216,0.864151,1,0.074124,1,0.925876,0.138018,0.872941,1.145553,0.009676
217,110,0,1373,217,0.863522,1,0.074174,1,0.925826,0.138104,0.872353,1.146325,0.009731
218,110,0,1372,218,0.862893,1,0.074224,1,0.925776,0.138191,0.871765,1.147099,0.009773
219,110,0,1371,219,0.862264,1,0.074274,1,0.925726,0.138278,0.871176,1.147873,0.009796
220,110,0,1370,220,0.861635,1,0.074324,1,0.925676,0.138365,0.870588,1.148649,0.0098
221,110,0,1369,221,0.861006,1,0.074375,1,0.925625,0.138452,0.87,1.149425,0.009819
222,110,0,1368,222,0.860377,1,0.074425,1,0.925575,0.138539,0.869412,1.150203,0.009826
223,110,0,1367,223,0.859748,1,0.074475,1,0.925525,0.138626,0.868824,1.150982,0.009834
224,110,0,1366,224,0.859119,1,0.074526,1,0.925474,0.138714,0.868235,1.151762,0.009856
225,110,0,1365,225,0.858491,1,0.074576,1,0.925424,0.138801,0.867647,1.152542,0.009912
226,110,0,1364,226,0.857862,1,0.074627,1,0.925373,0.138889,0.867059,1.153324,0.009951
227,110,0,1363,227,0.857233,1,0.074678,1,0.925322,0.138977,0.866471,1.154107,0.009966
228,110,0,1362,228,0.856604,1,0.074728,1,0.925272,0.139064,0.865882,1.154891,0.010007
229,110,0,1361,229,0.855975,1,0.074779,1,0.925221,0.139152,0.865294,1.155676,0.01004
230,110,0,1360,230,0.855346,1,0.07483,1,0.92517,0.139241,0.864706,1.156463,0.010096
231,110,0,1359,231,0.854717,1,0.074881,1,0.925119,0.139329,0.864118,1.15725,0.010096
232,110,0,1358,232,0.854088,1,0.074932,1,0.925068,0.139417,0.863529,1.158038,0.010105
233,109,1,1358,232,0.854088,0.990909,0.074301,0.990909,0.925699,0.138237,0.862941,1.148293,0.010133
234,109,1,1357,233,0.853459,0.990909,0.074352,0.990909,0.925648,0.138325,0.862353,1.149076,0.010153
235,109,1,1356,234,0.85283,0.990909,0.074403,0.990909,0.925597,0.138413,0.861765,1.14986,0.010208
236,109,1,1355,235,0.852201,0.990909,0.074454,0.990909,0.925546,0.138501,0.861176,1.150646,0.010221
237,109,1,1354,236,0.851572,0.990909,0.074504,0.990909,0.925496,0.138589,0.860588,1.151432,0.010222
238,109,1,1353,237,0.850943,0.990909,0.074555,0.990909,0.925445,0.138677,0.86,1.15222,0.010321
239,109,1,1352,238,0.850314,0.990909,0.074606,0.990909,0.925394,0.138765,0.859412,1.153009,0.010324
240,109,1,1351,239,0.849686,0.990909,0.074658,0.990909,0.925342,0.138854,0.858824,1.153798,0.010364
241,109,1,1350,240,0.849057,0.990909,0.074709,0.990909,0.925291,0.138942,0.858235,1.154589,0.010401
242,109,1,1349,241,0.848428,0.990909,0.07476,0.990909,0.92524,0.139031,0.857647,1.155381,0.010445
243,109,1,1348,242,0.847799,0.990909,0.074811,0.990909,0.925189,0.139119,0.857059,1.156174,0.010648
244,109,1,1347,243,0.84717,0.990909,0.074863,0.990909,0.925137,0.139208,0.856471,1.156968,0.010679
245,109,1,1346,244,0.846541,0.990909,0.074914,0.990909,0.925086,0.139297,0.855882,1.157763,0.010775
246,109,1,1345,245,0.845912,0.990909,0.074966,0.990909,0.925034,0.139386,0.855294,1.158559,0.010786
247,109,1,1344,246,0.845283,0.990909,0.075017,0.990909,0.924983,0.139475,0.854706,1.159357,0.010876
248,109,1,1343,247,0.844654,0.990909,0.075069,0.990909,0.924931,0.139565,0.854118,1.160155,0.010913
249,109,1,1342,248,0.844025,0.990909,0.075121,0.990909,0.924879,0.139654,0.853529,1.160955,0.010966
250,109,1,1341,249,0.843396,0.990909,0.075172,0.990909,0.924828,0.139744,0.852941,1.161755,0.01101
251,109,1,1340,250,0.842767,0.990909,0.075224,0.990909,0.924776,0.139833,0.852353,1.162557,0.011019
